ID,Type,Start time,Completion time,Email,What is your age?,What is your gender?,Is English your first language?,What is the highest degree or level of education you have completed?,Read posts made by others,Make original posts,What color medal did the author take home?,Appropriate length?,Would this be content you would like to see on your social media feed?,Did the author effectively communicate their message in this post?,Based on this post  what is your judgment of the author's level of intelligence?,Do you think the author has strong writing skills?,What is your interest level in meeting the author of this post one-on-one if given the opportunity?,Were there any spelling or grammar mistakes in the post?,What was the author doing when they got into an accident?,Appropriate length?2,Would this be content you would like to see on your social media feed?2,Did the author effectively communicate their message in this post?2,Based on this post  what is your judgment of the author's level of intelligence?2,Do you think the author has strong writing skills?2,What is your interest level in meeting the author of this post one-on-one if given the opportunity?2,Were there any spelling or grammar mistakes in the post?2,What city did the author move to 25 years ago?,Appropriate length?3,Would this be content you would like to see on your social media feed?3,Did the author effectively communicate their message in this post?3,Based on this post  what is your judgment of the author's level of intelligence?3,Do you think the author has strong writing skills?3,What is your interest level in meeting the author of this post one-on-one if given the opportunity?3,Were there any spelling or grammar mistakes in the post?3,What wild animal did the author belief visited them recently?,Would this be content you would like to see on your social media feed?4,Did the author effectively communicate their message in this post?4,Based on this post  what is your judgment of the author's level of intelligence?4,Do you think the author has strong writing skills?4,What is your interest level in meeting the author of this post one-on-one if given the opportunity?4,Appropriate length?4,Were there any spelling or grammar mistakes in the post?4,How many heads did the mutated dog have?,Would this be content you would like to see on your social media feed?5,Did the author effectively communicate their message in this post?5,Based on this post  what is your judgment of the author's level of intelligence?5,Do you think the author has strong writing skills?5,What is your interest level in meeting the author of this post one-on-one if given the opportunity?5,Appropriate length?5,Were there any spelling or grammar mistakes in the post?5,Where did the author acquire his knowledge on grammatical competence?,Would this be content you would like to see on your social media feed?6,Did the author effectively communicate their message in this post?6,Based on this post  what is your judgment of the author's level of intelligence?6,Do you think the author has strong writing skills?6,What is your interest level in meeting the author of this post one-on-one if given the opportunity?6,Appropriate length?6,Were there any spelling or grammar mistakes in the post?6
2,C,3/11/21 0:18,3/11/21 0:28,anonymous,18 - 25 years old,Female,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,2,6,4,4,4,None or did not notice any,Driving,Appropriate,2,5,3,3,2,1 or 2,Chicago  IL,Appropriate,1 (lowest),6,4,4,4,1 or 2,Deer,2,3,4,4,3,Too long,1 or 2,1,2,5,5,4,4,Appropriate,None or did not notice any,Podcast,3,5,4,4,4,Appropriate,None or did not notice any
3,C,3/11/21 1:04,3/11/21 1:12,anonymous,41+ years old,Male,Yes,Master's Degree,Weekly,Less Often,Gold,Appropriate,2,5,4,5,1 (lowest),None or did not notice any,Driving,Appropriate,2,5,5,4,2,1 or 2,Chicago  IL,Too long,1 (lowest),1 (lowest),3,2,1 (lowest),Between 6 and 9,Deer,1 (lowest),1 (lowest),2,1 (lowest),1 (lowest),Far too long,Between 2 and 5,1,4,4,5,3,2,Appropriate,1 or 2,Podcast,1 (lowest),2,2,1 (lowest),1 (lowest),Appropriate,1 or 2
4,C,3/11/21 10:20,3/11/21 10:28,anonymous,36 - 40 years old,Male,Yes,Master's Degree,Weekly,Less Often,Gold,Appropriate,4,6,6,5,3,None or did not notice any,Driving,Appropriate,2,7 (highest),6,6,2,1 or 2,Do not recall,Too long,2,5,6,4,2,1 or 2,Do not recall,4,4,6,6,2,Too long,None or did not notice any,1,2,6,6,6,2,Appropriate,None or did not notice any,Do not recall,3,6,6,5,2,Appropriate,None or did not notice any
5,C,3/11/21 15:10,3/11/21 15:36,anonymous,36 - 40 years old,Female,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,6,5,6,5,2,1 or 2,Driving,Appropriate,4,4,4,3,2,Between 2 and 5,Chicago  IL,Appropriate,5,4,4,3,2,Between 2 and 5,Do not recall,3,3,6,7 (highest),4,Too long,None or did not notice any,2,4,4,4,3,2,Appropriate,1 or 2,Podcast,4,5,5,4,2,Appropriate,None or did not notice any
6,C,3/11/21 16:04,3/11/21 16:14,anonymous,18 - 25 years old,Male,Yes,High School,Daily,Less Often,Bronze,Appropriate,3,6,5,4,4,None or did not notice any,Driving,Too long,2,4,3,4,3,1 or 2,Chicago  IL,Appropriate,5,6,5,5,5,None or did not notice any,Do not recall,1 (lowest),2,3,2,3,Far too long,1 or 2,1,4,5,5,5,4,Appropriate,None or did not notice any,Podcast,5,6,5,6,4,Appropriate,None or did not notice any
7,C,3/11/21 19:55,3/11/21 19:59,anonymous,31 - 35 years old,Female,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,2,5,5,5,3,None or did not notice any,Driving,Appropriate,3,5,4,3,2,1 or 2,Kansas City  KS,Appropriate,2,5,5,4,2,1 or 2,Deer,2,3,3,5,2,Too long,None or did not notice any,1,2,2,2,2,2,Appropriate,None or did not notice any,Do not recall,2,2,3,2,2,Appropriate,None or did not notice any
8,C,3/11/21 19:55,3/11/21 20:00,anonymous,31 - 35 years old,Female,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,2,5,5,5,3,None or did not notice any,Driving,Appropriate,3,5,4,3,2,1 or 2,Kansas City  KS,Appropriate,2,5,5,4,2,1 or 2,Deer,2,3,3,5,2,Too long,None or did not notice any,1,2,2,2,2,2,Appropriate,None or did not notice any,Do not recall,2,2,3,2,2,Appropriate,None or did not notice any
9,C,3/11/21 19:56,3/11/21 20:00,anonymous,31 - 35 years old,Female,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,2,5,5,5,3,None or did not notice any,Driving,Appropriate,3,5,4,3,2,1 or 2,Kansas City  KS,Appropriate,2,5,5,4,2,1 or 2,Deer,2,3,3,5,2,Too long,None or did not notice any,1,2,2,2,2,2,Appropriate,None or did not notice any,Do not recall,2,2,3,2,2,Appropriate,None or did not notice any
10,C,3/11/21 22:05,3/11/21 22:12,anonymous,41+ years old,Female,Yes,Prefer not to say,Daily,Daily,Gold,Appropriate,4,6,5,5,4,1 or 2,Driving,Appropriate,5,6,5,5,3,None or did not notice any,Do not recall,Too long,4,5,5,5,3,1 or 2,Do not recall,2,5,4,4,2,Far too long,1 or 2,Do not recall,4,4,4,4,3,Appropriate,None or did not notice any,Podcast,4,4,4,4,4,Appropriate,None or did not notice any
11,C,3/12/21 5:09,3/12/21 5:15,anonymous,41+ years old,Female,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,5,5,5,6,4,None or did not notice any,Driving,Appropriate,5,5,6,5,4,1 or 2,Chicago  IL,Too long,3,5,4,4,3,None or did not notice any,Deer,4,5,4,4,4,Far too long,None or did not notice any,1,3,5,4,4,3,Appropriate,None or did not notice any,Podcast,5,5,4,4,3,Appropriate,None or did not notice any
